"Date","Price","Open","High","Low","Vol.","Change %"
"06/30/2022","224.47","224.51","229.46","218.86","94.60M","-1.76%"
"06/29/2022","228.49","230.50","231.17","222.27","82.90M","-1.79%"
"06/28/2022","232.66","244.48","249.97","232.34","90.67M","-5.01%"
"06/27/2022","244.92","249.37","252.07","242.57","89.18M","-0.32%"
"06/24/2022","245.71","237.47","246.07","236.09","95.77M","4.53%"
"06/23/2022","235.07","237.90","239.32","228.64","104.20M","-0.43%"
"06/22/2022","236.09","234.50","246.83","233.83","101.53M","-0.40%"
"06/21/2022","237.04","224.60","243.58","224.33","122.79M","9.36%"
"06/17/2022","216.76","213.43","220.97","213.20","92.64M","1.72%"
"06/16/2022","213.10","222.74","225.17","208.69","107.39M","-8.54%"
"06/15/2022","233.00","220.92","235.66","218.15","119.13M","5.48%"
"06/14/2022","220.89","218.29","226.33","211.74","97.99M","2.39%"
"06/13/2022","215.74","223.17","226.63","214.68","102.77M","-7.10%"
"06/10/2022","232.23","235.16","239.50","227.91","98.09M","-3.12%"
"06/09/2022","239.71","249.34","255.55","239.33","96.49M","-0.89%"
"06/08/2022","241.87","240.09","249.96","239.18","76.21M","1.25%"
"06/07/2022","238.89","234.00","240.00","230.09","72.81M","0.26%"
"06/06/2022","238.28","244.35","244.87","234.35","84.20M","1.60%"
"06/03/2022","234.52","243.22","247.80","233.42","112.39M","-9.22%"
"06/02/2022","258.33","244.16","264.21","242.07","93.47M","4.68%"
"06/01/2022","246.79","251.72","257.33","243.64","77.25M","-2.36%"
"05/31/2022","252.75","257.95","259.60","244.74","101.91M","-0.18%"
"05/27/2022","253.21","241.08","253.27","240.18","89.30M","7.33%"
"05/26/2022","235.91","220.47","239.56","217.89","106.00M","7.43%"
"05/25/2022","219.60","207.95","223.11","207.67","92.14M","4.88%"
"05/24/2022","209.39","217.84","217.97","206.86","89.09M","-6.93%"
"05/23/2022","224.97","218.34","226.65","212.69","88.90M","1.66%"
"05/20/2022","221.30","238.00","240.53","211.00","144.97M","-6.42%"
"05/19/2022","236.47","235.67","244.67","231.37","90.30M","-0.05%"
"05/18/2022","236.60","248.17","253.50","233.60","87.81M","-6.80%"
"05/17/2022","253.87","249.12","254.83","242.95","80.24M","5.14%"
"05/16/2022","241.46","255.72","256.59","239.70","86.10M","-5.87%"
"05/13/2022","256.53","257.83","262.45","250.52","92.15M","5.71%"
"05/12/2022","242.67","233.67","253.22","226.67","140.31M","-0.82%"
"05/11/2022","244.67","265.00","269.92","242.40","97.22M","-8.25%"
"05/10/2022","266.68","273.10","275.12","258.08","84.40M","1.64%"
"05/09/2022","262.37","278.82","281.88","260.38","90.81M","-9.07%"
"05/06/2022","288.55","295.67","296.00","281.03","72.90M","-0.87%"
"05/05/2022","291.09","313.07","315.20","285.90","92.52M","-8.33%"
"05/04/2022","317.54","301.31","318.50","295.09","81.64M","4.77%"
"05/03/2022","303.08","301.06","308.03","296.20","63.71M","0.70%"
"05/02/2022","300.98","286.92","302.12","282.68","75.78M","3.70%"
"04/29/2022","290.25","300.75","311.47","290.00","88.13M","-0.77%"
"04/28/2022","292.50","299.99","300.00","273.90","124.95M","-0.46%"
"04/27/2022","293.84","299.53","306.00","292.45","76.96M","0.58%"
"04/26/2022","292.14","331.81","333.33","291.67","136.13M","-12.18%"
"04/25/2022","332.67","326.32","336.21","325.10","68.34M","-0.70%"
"04/22/2022","335.02","338.30","344.95","331.33","69.70M","-0.37%"
"04/21/2022","336.26","358.24","364.07","332.14","105.42M","3.23%"
"04/20/2022","325.73","343.33","344.67","325.08","70.71M","-4.96%"
"04/19/2022","342.72","335.02","344.98","331.77","49.85M","2.38%"
"04/18/2022","334.76","329.68","338.31","324.47","51.72M","1.96%"
"04/14/2022","328.33","333.10","337.57","327.40","58.42M","-3.66%"
"04/13/2022","340.79","327.02","342.08","324.37","55.12M","3.59%"
"04/12/2022","328.98","332.55","340.40","325.53","65.98M","1.13%"
"04/11/2022","325.31","326.80","336.16","324.88","59.36M","-4.83%"
"04/08/2022","341.83","347.74","349.48","340.81","55.01M","-3.00%"
"04/07/2022","352.42","350.80","358.86","340.51","79.45M","1.10%"
"04/06/2022","348.59","357.82","359.67","342.57","89.35M","-4.17%"
"04/05/2022","363.75","378.77","384.29","362.43","80.08M","-4.73%"
"04/04/2022","381.82","363.13","383.30","357.51","82.18M","5.61%"
"04/01/2022","361.53","360.38","364.92","355.55","54.26M","0.65%"
"03/31/2022","359.20","364.86","367.71","358.88","48.99M","-1.50%"
"03/30/2022","364.66","363.72","371.32","361.33","59.87M","-0.51%"
"03/29/2022","366.52","369.33","371.59","357.70","73.61M","0.71%"
"03/28/2022","363.95","355.03","365.96","351.20","102.51M","8.04%"
"03/25/2022","336.88","336.00","340.60","332.44","62.03M","-0.32%"
"03/24/2022","337.97","336.58","341.50","329.60","68.92M","1.48%"
"03/23/2022","333.04","326.65","346.90","325.47","120.68M","0.52%"
"03/22/2022","331.33","310.00","332.62","307.25","105.87M","7.91%"
"03/21/2022","307.05","304.99","314.28","302.36","81.98M","1.74%"
"03/18/2022","301.80","291.50","302.62","289.13","100.41M","3.88%"
"03/17/2022","290.53","277.00","291.67","275.24","66.58M","3.73%"
"03/16/2022","280.08","269.67","280.67","267.42","84.03M","4.78%"
"03/15/2022","267.30","258.42","268.52","252.19","66.84M","4.63%"
"03/14/2022","255.46","260.20","266.90","252.01","71.15M","-3.64%"
"03/11/2022","265.12","280.07","281.27","264.59","67.04M","-5.12%"
"03/10/2022","279.43","283.82","284.82","270.12","58.65M","-2.41%"
"03/09/2022","286.32","279.83","286.85","277.34","59.18M","4.19%"
"03/08/2022","274.80","265.18","283.33","260.72","80.40M","2.46%"
"03/07/2022","268.19","285.43","288.71","268.19","72.49M","-4.02%"
"03/04/2022","279.43","283.03","285.22","275.05","67.18M","-0.12%"
"03/03/2022","279.76","292.92","295.48","277.53","61.62M","-4.62%"
"03/02/2022","293.30","290.71","295.49","281.42","74.64M","1.80%"
"03/01/2022","288.12","289.89","296.63","284.59","74.77M","-0.70%"
"02/28/2022","290.14","271.67","292.29","271.57","99.01M","7.48%"
"02/25/2022","269.96","269.74","273.17","260.80","76.07M","1.14%"
"02/24/2022","266.92","233.46","267.49","233.33","135.32M","4.81%"
"02/23/2022","254.68","276.81","278.43","253.52","95.26M","-7.00%"
"02/22/2022","273.84","278.04","285.58","267.03","83.29M","-4.14%"
"02/18/2022","285.66","295.33","295.62","279.20","68.50M","-2.21%"
"02/17/2022","292.12","304.42","306.17","291.37","55.18M","-5.09%"
"02/16/2022","307.80","304.68","308.81","300.40","51.29M","0.10%"
"02/15/2022","307.48","300.00","307.67","297.79","57.65M","5.33%"
"02/14/2022","291.92","287.19","299.63","284.38","67.76M","1.83%"
"02/11/2022","286.67","303.21","305.32","283.57","79.65M","-4.93%"
"02/10/2022","301.52","302.79","314.60","298.90","66.13M","-2.95%"
"02/09/2022","310.67","311.67","315.42","306.67","52.26M","1.09%"
"02/08/2022","307.33","301.84","308.76","298.27","50.73M","1.61%"
"02/07/2022","302.45","307.93","315.92","300.90","60.99M","-1.73%"
"02/04/2022","307.77","299.07","312.17","293.72","73.63M","3.61%"
"02/03/2022","297.05","294.00","312.33","293.51","78.86M","-1.60%"
"02/02/2022","301.89","309.39","310.50","296.47","66.79M","-2.75%"
"02/01/2022","310.42","311.74","314.57","301.67","73.14M","-0.58%"
"01/31/2022","312.24","290.90","312.66","287.35","104.44M","10.68%"
"01/28/2022","282.12","277.19","285.83","264.00","134.79M","2.08%"
"01/27/2022","276.37","311.12","311.80","276.33","147.11M","-11.55%"
"01/26/2022","312.47","317.48","329.23","302.00","104.87M","2.07%"
"01/25/2022","306.13","304.73","317.09","301.07","86.60M","-1.25%"
"01/24/2022","310.00","301.59","311.17","283.82","152.38M","-1.47%"
"01/21/2022","314.63","332.11","334.85","313.50","103.42M","-5.26%"
"01/20/2022","332.09","336.58","347.22","331.33","70.49M","0.06%"
"01/19/2022","331.88","347.23","351.56","331.67","75.44M","-3.38%"
"01/18/2022","343.50","342.20","356.93","338.69","66.99M","-1.82%"
"01/14/2022","349.87","339.96","350.67","337.79","72.92M","1.75%"
"01/13/2022","343.85","369.69","371.87","342.18","97.21M","-6.75%"
"01/12/2022","368.74","359.62","371.61","357.53","83.74M","3.93%"
"01/11/2022","354.80","351.22","358.62","346.27","66.06M","0.59%"
"01/10/2022","352.71","333.33","353.03","326.67","91.81M","3.04%"
"01/07/2022","342.32","360.12","360.31","336.67","84.16M","-3.54%"
"01/06/2022","354.90","359.00","362.67","340.17","90.34M","-2.15%"
"01/05/2022","362.71","382.22","390.11","360.34","80.12M","-5.35%"
"01/04/2022","383.20","396.52","402.67","374.35","100.25M","-4.18%"
"01/03/2022","399.93","382.58","400.36","378.68","104.69M","13.53%"
